              Procedure           Image            Address        Calls Instructions
                 getenv       libc.so.6       7f771c4e4800           38         9458
                  qsort       libc.so.6       7f771c4e47f0            1            2
                qsort_r       libc.so.6       7f771c4e4370            1           66
                _setjmp       libc.so.6       7f771c4e0d30            2            4
            __sigsetjmp       libc.so.6       7f771c4e0c90            2           54
             textdomain       libc.so.6       7f771c4d6c20            1           53
         bindtextdomain       libc.so.6       7f771c4d2a30            1           74
           __ctype_init       libc.so.6       7f771c4d29e0            1           16
 __ctype_get_mb_cur_max       libc.so.6       7f771c4d1220          305         1525
              setlocale       libc.so.6       7f771c4cf120            1          787
       __errno_location       libc.so.6       7f771c4c3f80          270          810
      __libc_start_main       libc.so.6       7f771c4c3b10            1           55
                  _init       libc.so.6       7f771c4c3980            1           99
                  .text       libc.so.6       7f771c4c32d0            0          202
               .plt.got       libc.so.6       7f771c4c32c0          229          317
                   @plt       libc.so.6       7f771c4c32b0           63           63
                   @plt       libc.so.6       7f771c4c3270           13           13
                   @plt       libc.so.6       7f771c4c3230           86           86
                   @plt       libc.so.6       7f771c4c3210          211          211
                   @plt       libc.so.6       7f771c4c3200          234          234
_dl_find_dso_for_object@plt       libc.so.6       7f771c4c31a0            1            3
                   @plt       libc.so.6       7f771c4c3160          518          518
                   @plt       libc.so.6       7f771c4c3110           97           97
                   @plt       libc.so.6       7f771c4c3100          995          995
  __tunable_get_val@plt       libc.so.6       7f771c4c30f0           11           13
                   @plt       libc.so.6       7f771c4c30d0          192          192
                   @plt       libc.so.6       7f771c4c30c0          129          129
                   @plt       libc.so.6       7f771c4c3050          193          193
                   @plt       libc.so.6       7f771c4c3040           12           12
            realloc@plt       libc.so.6       7f771c4c3020            3            5
                   @plt       libc.so.6       7f771c4c3000           12           12
                   .plt       libc.so.6       7f771c4c2fd0            3            6
                  _fini libselinux.so.1       7f771c8e94d0            1            3
       selinuxfs_exists libselinux.so.1       7f771c8da3f0            1          504
                  .text libselinux.so.1       7f771c8d2210            1          366
               .plt.got libselinux.so.1       7f771c8d21c0            0            1
             strstr@plt libselinux.so.1       7f771c8d2170           35           37
            sysconf@plt libselinux.so.1       7f771c8d20b0            1            3
              fopen@plt libselinux.so.1       7f771c8d2080            1            3
             access@plt libselinux.so.1       7f771c8d2070            1            3
      __fsetlocking@plt libselinux.so.1       7f771c8d1ef0            1            3
             statfs@plt libselinux.so.1       7f771c8d1e60            2            4
         __getdelim@plt libselinux.so.1       7f771c8d1dc0           36           38
             fclose@plt libselinux.so.1       7f771c8d1b80            1            3
   __errno_location@plt libselinux.so.1       7f771c8d1a70            2            4
               free@plt libselinux.so.1       7f771c8d1a30           37           39
                   .plt libselinux.so.1       7f771c8d1a10           10           20
                  _init libselinux.so.1       7f771c8d19f8            1            6
    _dl_catch_exception ld-linux-x86-64.so.2       7f7731a77df0           13          403
                   free ld-linux-x86-64.so.2       7f7731a77800            5           20
                 calloc ld-linux-x86-64.so.2       7f7731a777c0           17          136
                 malloc ld-linux-x86-64.so.2       7f7731a77690           38          740
      __tunable_get_val ld-linux-x86-64.so.2       7f7731a753d0           26          474
_dl_find_dso_for_object ld-linux-x86-64.so.2       7f7731a707e0            1           47
