#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
  88 CMOVNB                         0              184
  89 CMOVNBE                        0              442
  95 CMOVNZ                         0              876
  98 CMOVS                          0                1
  99 CMOVZ                          0             2113
 100 CMP                        87125                0
 103 CMPSB                          0              276
 109 CMPXCHG                      108                0
 114 CMPXCHG_LOCK                  14                0
 117 CPUID                         22                0
 118 CQO                            1                0
 146 DEC                          107                0
 147 DEC_LOCK                       3                0
 148 DIV                         2224                0
 272 IDIV                           1                0
 273 IMUL                        1933                0
 275 INC                            2                0
 297 JB                          7051                0
 298 JBE                         8226                0
 301 JL                          1413                0
 302 JLE                         4227                0
 303 JMP                        21926                0
 305 JNB                         6427                0
 306 JNBE                       11955                0
 307 JNL                          147                0
 308 JNLE                         712                0
 311 JNS                         1583                0
 312 JNZ                        48378                0
 313 JO                             3                0
 316 JS                           345                0
 317 JZ                         67801                0
 374 LEA                        41700                0
 375 LEAVE                          5                0
 411 MOV                       258484                0
 413 MOVAPS                       744                0
 415 MOVD                         126                0
 420 MOVDQA                      2997                0
 421 MOVDQU                      2087                0
 423 MOVHPD                      2220                0
 424 MOVHPS                       290                0
 426 MOVLPD                      2220                0
 438 MOVQ                         309                0
 445 MOVSQ                        240                1
 448 MOVSX                        684                0
 449 MOVSXD                      8602                0
 451 MOVUPS                       277                0
 452 MOVZX                      34295                0
 456 MUL                            4                0
 464 NEG                          243                0
 466 NOP                         4244                0
 475 NOT                          343                0
 477 OR                          2353                0
 493 PADDD                         62                0
 494 PADDQ                        166                0
 500 PALIGNR                        2                0
 510 PCMPEQB                     5875                0
 511 PCMPEQD                        1                0
 517 PCMPGTD                       31                0
 520 PCMPISTRI                      2                0
 573 PMINUB                       584                0
 576 PMOVMSKB                    3039                0
 597 POP                        21359                0
 604 POR                          375                0
 606 PREFETCHT0                    36                0
 615 PSHUFD                       112                0
 622 PSLLD                         31                0
 623 PSLLDQ                       732                0
 624 PSLLQ                         62                0
 629 PSRLDQ                       275                0
 632 PSUBB                       2155                0
 644 PUNPCKHDQ                     31                0
 645 PUNPCKHQDQ                    62                0
 647 PUNPCKLBW                    112                0
 648 PUNPCKLDQ                     31                0
 649 PUNPCKLQDQ                    67                0
 650 PUNPCKLWD                    112                0
 651 PUSH                       23872                0
 657 PXOR                        3299                0
 672 RDTSC                          9                0
 718 RET_NEAR                   10760                0
 719 ROL                          174                0
 720 ROR                           36                0
 732 SAR                         2364                0
 735 SBB                          141                0
 741 SETB                         325                0
 742 SETBE                        329                0
 745 SETNB                        240                0
 746 SETNBE                       494                0
 748 SETNLE                         1                0
 752 SETNZ                       3607                0
 757 SETZ                        1701                0
 758 SFENCE                         2                0
 767 SHL                         5526                0
 770 SHR                        11206                0
 792 STOSQ                          0             2207
 795 SUB                        21097                0
 802 SYSCALL                      169                0
 809 TEST                       71191                0
 811 TZCNT                       1550                0
1094 VMOVD                        238                0
1096 VMOVDQA                      818                0
1099 VMOVDQU                     1789                0
1112 VMOVNTDQ                      36                0
1159 VPALIGNR                       6                0
1160 VPAND                        396                0
1162 VPANDN                       396                0
1175 VPBROADCASTB                 252                0
1185 VPCMPEQB                    2433                0
1191 VPCMPGTB                     792                0
1195 VPCMPISTRI                     6                0
1328 VPMOVMSKB                   2074                0
1372 VPOR                         573                0
1422 VPSLLDQ                       66                0
1441 VPSUBB                       192                0
1468 VPXOR                       1640                0
1549 VZEROUPPER                  1646                0
1564 XCHG                         752                0
1566 XGETBV                         1                0
1568 XOR                        15879                0
1572 XRSTOR                        17                0
1576 XSAVE                         17                0
3000 *total                    960286             6289
3001 *mem-atomic                   20                0
3002 *stack-read                94954                0
3003 *stack-write               77784                0
3004 *iprel-read                16533                0
3005 *iprel-write                1060                0
3007 *mem-read-1                45427                0
3008 *mem-read-2                 5990                0
3010 *mem-read-4                34460                0
3014 *mem-read-8               139386                0
3022 *mem-read-16                5674                0
3038 *mem-read-32                2078                0
3070 *mem-read-64                  36                0
3519 *mem-write-1                4695                0
3520 *mem-write-2                 348                0
3522 *mem-write-4                9944                0
3526 *mem-write-8               80791                0
3534 *mem-write-16               2025                0
3550 *mem-write-32                230                0
3582 *mem-write-64                 34                0
4094 LAST                          17                0
# $eof
